#curie_map:
#  FBcv: http://purl.obolibrary.org/obo/FBcv_
#  MMO: http://purl.obolibrary.org/obo/MMO_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  ORCID: https://orcid.org/
#  obo: http://purl.obolibrary.org/obo/
#mapping_set_id: http://purl.obolibrary.org/obo/fbcv/fbcv.sssom.tsv
#mapping_set_description: Mappings between the FlyBase Controlled Vocabulary (FBcv) and foreign ontologies and vocabularies.
#creator_id:
#  - ORCID:0000-0002-6095-8718
#license: https://creativecommons.org/licenses/by/4.0/
#subject_source: obo:fbcv.owl
#mapping_date: 2025-10-02
subject_id	subject_label	predicate_id	object_id	object_label	object_category	mapping_justification	object_type	object_source	comment
FBcv:0000222	male	skos:exactMatch	FBcv:X	male	Genetic Sex	semapv:ManualMappingCuration	rdfs literal		
FBcv:0000334	female	skos:exactMatch	FBcv:X	female	Genetic Sex	semapv:ManualMappingCuration	rdfs literal		
FBcv:0003047	isolated cells	skos:relatedMatch	OBI:0002631	single-cell RNA-sequencing assay		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003068	RNA-Seq	skos:exactMatch	MMO:0000658	ribonucleic acid in situ hybridization assay		semapv:ManualMappingCuration		obo:mmo.owl	
FBcv:0003124	species study	skos:exactMatch	FBcv:X	species	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		
FBcv:0003125	strain study	skos:exactMatch	FBcv:X	genome variation	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		
FBcv:0003127	developmental stage study	skos:exactMatch	FBcv:X	developmental stage	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		
FBcv:0003127	developmental stage study	skos:exactMatch	OBI:0003713	organism development assay		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003128	circadian rhythm study	skos:narrowMatch	FBcv:X	time of day	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		The Alliance term is specifically about a study that compares samples collected at specified times of the day, while the FBcv term is more broadly about any study of the circadian rhythm (which would likely involve collecting samples at specified times of the day but not necessarily).
FBcv:0003129	cell cycle study	skos:exactMatch	FBcv:X	cell cycle	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		
